epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,2.1565771751649954,2.041302537856997,0.19055464030752334,0.21332479180012812
2,2.0336311374765907,1.9036353129289763,0.24890170236133993,0.34593209481101855
3,1.9404431442059638,1.9260963923193415,0.28363536518396487,0.3183856502242152
4,1.8536351602330174,1.704089229340587,0.3242723778143877,0.3920563741191544
5,1.7785808671509284,1.827402734053891,0.34802306425041185,0.3869314541960282
6,1.7293003561207385,1.5613815261338628,0.3872872048325096,0.45419602818705956
7,1.6584593228492548,1.7775598657505394,0.3968973091707853,0.3997437540038437
8,1.6050132782101827,1.4509127749455883,0.4157056562328391,0.484304932735426
9,1.5399434599229622,1.3656203910985258,0.43945634266886324,0.5426008968609866
10,1.5173133576983349,1.3043893925430377,0.4599121361889072,0.572709801409353
